sys:time	sys:real_time	Temp	Field
2.9028899669647217	1748902497.150224	0.0	0.0
4.008731842041016	1748902498.255202	0.0	0.0
4.414636135101318	1748902498.661133	0.0	0.0
4.72744607925415	1748902498.974785	0.0	0.0
5.0380539894104	1748902499.283367	0.0	0.0
5.446339845657349	1748902499.695497	0.0	0.0
5.7552878856658936	1748902500.005086	0.0	0.0
6.160110950469971	1748902500.40542	0.0	0.0
6.557782888412476	1748902500.8067682	0.0	0.0
6.957239866256714	1748902501.202558	0.0	0.0
7.271310806274414	1748902501.51744	0.0	0.0
7.578520774841309	1748902501.828813	0.0	0.0
7.890445709228516	1748902502.137781	0.0	0.0
8.20006775856018	1748902502.445367	0.0	0.0
8.594968795776367	1748902502.843968	0.0	0.0
8.900035858154297	1748902503.1503282	0.0	0.0
9.215971946716309	1748902503.461277	0.0	0.0
9.50838303565979	1748902503.753684	0.0	0.0
9.805509805679321	1748902504.050813	0.0	0.0
10.215215921401978	1748902504.4605289	0.0	0.0
10.627516984939575	1748902504.877814	0.0	0.0
10.947319746017456	1748902505.192634	0.0	0.0
11.247339010238647	1748902505.4976351	0.0	0.0
11.656269788742065	1748902505.9021351	0.0	0.0
12.065737962722778	1748902506.31603	0.0	0.0
12.46882677078247	1748902506.714127	0.0	0.0
12.768878936767578	1748902507.0191748	0.0	0.0
13.071403980255127	1748902507.3167129	0.0	0.0
13.370482921600342	1748902507.6157792	0.0	0.0
13.787828922271729	1748902508.033849	0.0	0.0
14.1909019947052	1748902508.4411929	0.0	0.0
14.615486860275269	1748902508.8641448	0.0	0.0
14.922074794769287	1748902509.172371	0.0	0.0
15.336696863174438	1748902509.584861	0.0	0.0
15.64690899848938	1748902509.897208	0.0	0.0
15.957897901535034	1748902510.205406	0.0	0.0
16.26242685317993	1748902510.507863	0.0	0.0
16.577167749404907	1748902510.825995	0.0	0.0
16.88937282562256	1748902511.1346822	0.0	0.0
18.115461826324463	1748902512.3607721	0.0	0.0
